Time,RightACC,RightEMGext
0.622,4.91471,-0.261648
0.623,4.91471,-2.45945
0.624,4.91471,-1.72685
0.625,4.91471,0.470953
0.626,4.91471,-0.994249
0.627,4.91471,-0.261648
0.628,4.91471,0.470953
0.629,4.91471,-0.261648
0.63,4.91471,-2.45945
0.631,4.91471,-3.92465
0.632,4.91471,-1.95444
0.633,4.91471,0.243358
0.634,3.69401,0.243358
0.635,3.69401,-3.41965
0.636,3.69401,-2.68705
0.637,3.69401,-3.41965
0.638,3.69401,-3.41965
0.639,3.69401,2.44116
0.64,3.69401,2.44116
0.641,3.69401,-1.22184
0.642,3.69401,-3.41965
0.643,3.69401,-3.19205
0.644,3.69401,8.52956
0.645,3.69401,22.449
0.646,3.69401,4.13396
0.647,3.69401,-0.489243
0.648,3.69401,-1.95444
0.649,2.47331,-3.92465
0.65,2.47331,-3.19205
0.651,2.47331,-1.95444
0.652,2.47331,-1.22184
0.653,2.47331,0.243358
0.654,2.47331,-1.22184
0.655,2.47331,-3.19205
0.656,2.47331,1.93615
0.657,2.47331,7.06436
0.658,2.47331,1.20355
0.659,2.47331,8.52956
0.66,2.47331,9.26216
0.661,2.47331,-2.45945
0.662,1.2526,-2.45945
0.663,1.2526,-0.994249
0.664,1.2526,-0.994249
0.665,1.2526,-3.19205
0.666,1.2526,-2.68705
0.667,1.2526,-0.489243
0.668,1.2526,-1.22184
0.669,1.2526,-2.68705
0.67,1.2526,-3.19205
0.671,0.031901,0.470953
0.672,0.031901,4.13396
0.673,0.031901,0.470953
0.674,0.031901,-3.92465
0.675,0.031901,-0.489243
0.676,0.031901,3.17376
0.677,0.031901,6.10416
0.678,0.031901,4.63896
0.679,0.031901,-3.92465
0.68,0.031901,-3.19205
0.681,0.031901,9.26216
0.682,0.031901,9.26216
0.683,0.031901,-3.92465
0.684,0.031901,-1.95444
0.685,0.031901,0.243358
0.686,0.031901,2.44116
0.687,0.031901,-1.95444
0.688,-1.1888,-3.41965
0.689,-1.1888,-3.19205
0.69,-1.1888,-0.994249
0.691,-1.1888,0.470953
0.692,-1.1888,0.470953
0.693,-1.1888,-0.994249
0.694,-1.1888,-1.95444
0.695,-1.1888,3.90636
0.696,-1.1888,-1.22184
0.697,-1.1888,-2.45945
0.698,-2.40951,-1.72685
0.699,-2.40951,-3.41965
0.7,-2.40951,-1.72685
0.701,-2.40951,1.20355
0.702,-2.40951,0.470953
0.703,-2.40951,-0.994249
0.704,-2.40951,-0.994249
0.705,-2.40951,-3.19205
0.706,-2.40951,-1.22184
0.707,-2.40951,3.90636
0.708,-2.40951,3.90636
0.709,-2.40951,2.66876
0.71,-2.40951,4.13396
0.711,-2.40951,-1.95444
0.712,-2.40951,-0.489243
0.713,-2.40951,0.975958
0.714,-2.40951,4.63896
0.715,-2.40951,7.56937
0.716,-2.40951,6.83676
0.717,-2.40951,0.243358
0.718,-1.1888,5.59916
0.719,-1.1888,19.5186
0.72,-1.1888,18.786
0.721,-1.1888,-0.994249
0.722,-1.1888,2.66876
0.723,-1.1888,-2.45945
0.724,-1.1888,-2.45945
0.725,-1.1888,-3.92465
0.726,-1.1888,-3.41965
0.727,-1.1888,-2.68705
0.728,-2.40951,-1.95444
0.729,-2.40951,-2.68705
0.73,-2.40951,-2.68705
0.731,-2.40951,-2.68705
0.732,-2.40951,-3.41965
0.733,-2.40951,-1.22184
0.734,-2.40951,-1.22184
0.735,-2.40951,4.13396
0.736,-2.40951,5.59916
0.737,-2.40951,7.06436
0.738,-2.40951,6.33176
0.739,-2.40951,-0.489243
0.74,-1.1888,0.975958
0.741,-1.1888,-2.68705
0.742,-1.1888,-3.41965
0.743,-1.1888,-3.92465
0.744,-1.1888,-1.72685
0.745,-1.1888,1.93615
0.746,-1.1888,0.470953
0.747,-1.1888,-1.22184
0.748,-1.1888,-1.22184
0.749,-1.1888,-1.22184
0.75,-1.1888,-3.19205
0.751,-1.1888,-1.22184
0.752,-1.1888,0.243358
0.753,-1.1888,-3.41965
0.754,-1.1888,-2.45945
0.755,-1.1888,-3.41965
0.756,-1.1888,-1.22184
0.757,-1.1888,0.243358
0.758,0.031901,0.975958
0.759,0.031901,1.70856
0.76,0.031901,-0.489243
0.761,0.031901,2.44116
0.762,0.031901,2.44116
0.763,0.031901,11.46
0.764,0.031901,9.26216
0.765,0.031901,0.975958
0.766,0.031901,2.44116
0.767,0.031901,3.90636
0.768,0.031901,3.90636
0.769,0.031901,-1.72685
0.77,0.031901,-1.72685
0.771,0.031901,-0.489243
0.772,0.031901,-3.41965
0.773,1.2526,9.26216
0.774,1.2526,5.59916
0.775,1.2526,1.20355
0.776,1.2526,-1.72685
0.777,1.2526,-3.41965
0.778,1.2526,-1.22184
0.779,1.2526,2.44116
0.78,1.2526,0.243358
0.781,1.2526,3.17376
0.782,1.2526,3.90636
0.783,1.2526,3.90636
0.784,1.2526,6.10416
0.785,1.2526,6.83676
0.786,1.2526,6.10416
0.787,1.2526,3.40136
0.788,1.2526,-1.95444
0.789,1.2526,3.40136
0.79,1.2526,18.0534
0.791,2.47331,-3.92465
0.792,2.47331,-3.19205
0.793,2.47331,-3.41965
0.794,2.47331,-1.22184
0.795,2.47331,2.44116
0.796,2.47331,0.975958
0.797,2.47331,7.06436
0.798,2.47331,-0.994249
0.799,2.47331,-1.95444
0.8,2.47331,-3.41965
0.801,3.69401,11.2324
0.802,3.69401,10.4998
0.803,3.69401,0.975958
0.804,3.69401,-3.19205
0.805,3.69401,1.93615
0.806,3.69401,15.8556
0.807,3.69401,-2.45945
0.808,3.69401,0.243358
0.809,3.69401,4.63896
0.81,3.69401,-3.92465
0.811,3.69401,12.9252
0.812,3.69401,-0.261648
0.813,3.69401,-3.19205
0.814,3.69401,-3.92465
0.815,3.69401,-3.41965
0.816,3.69401,-3.41965
0.817,3.69401,-1.22184
0.818,3.69401,-1.22184
0.819,3.69401,-3.92465
0.82,3.69401,-3.41965
0.821,3.69401,-3.19205
0.822,3.69401,-3.92465
0.823,3.69401,-3.92465
0.824,3.69401,-3.41965
0.825,3.69401,-3.41965
0.826,3.69401,-3.41965
0.827,3.69401,-3.92465
0.828,3.69401,-3.92465
0.829,3.69401,0.243358
0.83,3.69401,0.243358
0.831,3.69401,0.975958
0.832,3.69401,0.243358
0.833,3.69401,1.70856
0.834,3.69401,3.17376
0.835,3.69401,5.37156
0.836,3.69401,5.37156
0.837,3.69401,-1.22184
0.838,3.69401,-2.68705
0.839,2.47331,-3.92465
0.84,2.47331,-3.92465
0.841,2.47331,-0.994249
0.842,2.47331,-0.994249
0.843,2.47331,2.44116
0.844,2.47331,3.90636
0.845,1.2526,5.37156
0.846,1.2526,3.90636
0.847,1.2526,4.13396
0.848,1.2526,4.13396
0.849,1.2526,-0.261648
0.85,0.031901,-3.92465
0.851,0.031901,-1.22184
0.852,0.031901,-2.68705
0.853,0.031901,-0.994249
0.854,0.031901,1.20355
0.855,0.031901,-3.19205
0.856,0.031901,-2.68705
0.857,0.031901,0.243358
0.858,0.031901,-0.489243
0.859,0.031901,-3.19205
0.86,0.031901,1.20355
0.861,-1.1888,4.13396
0.862,-1.1888,0.470953
0.863,-1.1888,1.20355
0.864,-1.1888,1.93615
0.865,-1.1888,-0.261648
0.866,-1.1888,-2.68705
0.867,-2.40951,2.44116
0.868,-2.40951,3.90636
0.869,-2.40951,6.10416
0.87,-2.40951,7.56937
0.871,-2.40951,3.90636
0.872,-2.40951,0.243358
0.873,-2.40951,-3.41965
0.874,-2.40951,-3.19205
0.875,-2.40951,1.93615
0.876,-2.40951,6.33176
0.877,-2.40951,-2.45945
0.878,-2.40951,-0.994249
0.879,-2.40951,-3.19205
0.88,-2.40951,-3.92465
0.881,-2.40951,-1.72685
0.882,-2.40951,-2.45945
0.883,-2.40951,-1.22184
0.884,-2.40951,3.90636
0.885,-2.40951,1.20355
0.886,-2.40951,1.20355
0.887,-2.40951,3.90636
0.888,-2.40951,7.56937
0.889,-2.40951,0.975958
0.89,-2.40951,-1.95444
0.891,-2.40951,-3.19205
0.892,-2.40951,3.40136
0.893,-2.40951,-3.19205
0.894,-2.40951,-1.22184
0.895,-2.40951,2.44116
0.896,-3.63021,6.10416
0.897,-3.63021,-3.92465
0.898,-3.63021,-0.261648
0.899,-3.63021,1.93615
0.9,-3.63021,-2.45945
0.901,-3.63021,-2.68705
0.902,-3.63021,-2.68705
0.903,-3.63021,-1.22184
0.904,-3.63021,-1.95444
0.905,-3.63021,7.79696
0.906,-3.63021,3.40136
0.907,-3.63021,-2.45945
0.908,-3.63021,-3.19205
0.909,-3.63021,-1.22184
0.91,-4.85091,2.44116
0.911,-4.85091,4.63896
0.912,-4.85091,3.17376
0.913,-4.85091,-1.95444
0.914,-4.85091,-0.994249
0.915,-4.85091,0.975958
0.916,-4.85091,2.44116
0.917,-4.85091,-1.95444
0.918,-4.85091,-3.19205
0.919,-4.85091,-0.994249
0.92,-4.85091,-3.41965
0.921,-4.85091,-0.489243
0.922,-4.85091,5.37156
0.923,-4.85091,10.4998
0.924,-3.63021,9.03457
0.925,-3.63021,0.975958
0.926,-3.63021,-1.22184
0.927,-3.63021,-3.19205
